Model,LOOCV R2,LOOCV MAE,LOOCV RMSE
"GPR (Matern 1.5, len=10.0, alpha=0.2)",0.8343637492264839,0.7601483502818398,0.9200661187488391
"SVR (RBF, C=10.0, eps=0.1, g=0.1)",0.7772062233118301,0.9054654884663583,1.0670699017157526
"SVR (RBF, C=10.0, eps=0.05, g=0.1)",0.7769366805178368,0.9074234830244626,1.0677151936677067
"SVR (RBF, C=10.0, eps=0.2, g=0.1)",0.7675840578791844,0.9325999389390673,1.0898689994889936
"SVR (RBF, C=10.0, eps=0.05, g=auto)",0.7549435441263869,0.9596286267264813,1.119114226195077
"SVR (RBF, C=50.0, eps=0.05, g=auto)",0.7549435441263865,0.9596286267264821,1.1191142261950775
"SVR (RBF, C=10.0, eps=0.05, g=scale)",0.7549435441263865,0.9596286267264823,1.1191142261950775
"SVR (RBF, C=20.0, eps=0.05, g=auto)",0.7549435441263865,0.9596286267264821,1.1191142261950777
"SVR (RBF, C=20.0, eps=0.05, g=scale)",0.7549435441263864,0.9596286267264823,1.119114226195078
"SVR (RBF, C=50.0, eps=0.05, g=scale)",0.7549435441263864,0.9596286267264829,1.119114226195078
"SVR (RBF, C=5.0, eps=0.05, g=auto)",0.7525510156421404,0.9655138708628025,1.1245640094057368
"SVR (RBF, C=5.0, eps=0.05, g=scale)",0.7525510156421402,0.9655138708628033,1.1245640094057374
"SVR (RBF, C=10.0, eps=0.1, g=auto)",0.74989436524156,0.9719967311128104,1.1305846391334287
"SVR (RBF, C=10.0, eps=0.1, g=scale)",0.74989436524156,0.9719967311128107,1.130584639133429
"SVR (RBF, C=50.0, eps=0.1, g=auto)",0.74989436524156,0.9719967311128107,1.1305846391334287
"SVR (RBF, C=50.0, eps=0.1, g=scale)",0.7498943652415597,0.9719967311128109,1.130584639133429
"SVR (RBF, C=20.0, eps=0.1, g=auto)",0.7498943652415597,0.9719967311128128,1.1305846391334293
"SVR (RBF, C=20.0, eps=0.1, g=scale)",0.7498943652415595,0.971996731112813,1.1305846391334298
"SVR (RBF, C=5.0, eps=0.1, g=scale)",0.7480272783436407,0.9765013415908572,1.1347968089964597
"SVR (RBF, C=5.0, eps=0.1, g=auto)",0.7480272783436407,0.9765013415908572,1.1347968089964597
"SVR (RBF, C=20.0, eps=0.2, g=auto)",0.7392071282499919,1.0033138280392844,1.1544874088277848
"SVR (RBF, C=20.0, eps=0.2, g=scale)",0.7392071282499918,1.0033138280392848,1.1544874088277852
"SVR (RBF, C=10.0, eps=0.2, g=auto)",0.7392071282499917,1.0033138280392857,1.1544874088277854
"SVR (RBF, C=10.0, eps=0.2, g=scale)",0.7392071282499917,1.003313828039286,1.1544874088277854
"SVR (RBF, C=50.0, eps=0.2, g=scale)",0.7392071282499908,1.003313828039287,1.1544874088277874
"SVR (RBF, C=50.0, eps=0.2, g=auto)",0.7392071282499908,1.0033138280392873,1.1544874088277877
"SVR (RBF, C=5.0, eps=0.2, g=scale)",0.7382673675634106,1.0055920388349118,1.156565621777795
"SVR (RBF, C=5.0, eps=0.2, g=auto)",0.7382673675634106,1.0055920388349118,1.156565621777795
"SVR (RBF, C=20.0, eps=0.05, g=0.05)",0.6735641859276666,0.9854844431000842,1.291636301889511
"SVR (RBF, C=20.0, eps=0.1, g=0.05)",0.6631435972620976,1.0162826972753047,1.3120903629136347
"SVR (RBF, C=20.0, eps=0.2, g=0.05)",0.6399540716996879,1.0749852232941886,1.3565015500914852
"SVR (RBF, C=5.0, eps=0.2, g=0.1)",0.5385509451114758,1.226940791764935,1.535688820921764
