Kernel,Init Length,Alpha,Train R2,LOOCV R2,LOOCV MAE,LOOCV RMSE,Optimized Kernel
RationalQuadratic,5.0,0.1,0.9944574704629983,0.9028223439209058,0.5670638356394796,0.7047329089706871,"15.9**2 * RationalQuadratic(alpha=1e+05, length_scale=4.88)"
RationalQuadratic,2.0,0.1,0.9944574704629983,0.9028223271868387,0.5670638368479138,0.7047329696484583,"15.9**2 * RationalQuadratic(alpha=1e+05, length_scale=4.88)"
RationalQuadratic,0.1,0.1,0.9944574704629983,0.9028223112613804,0.5670639575268297,0.704733027394208,"15.9**2 * RationalQuadratic(alpha=1e+05, length_scale=4.88)"
RationalQuadratic,20.0,0.1,0.9944574704629983,0.9028223112613804,0.5670639575268297,0.704733027394208,"15.9**2 * RationalQuadratic(alpha=1e+05, length_scale=4.88)"
RationalQuadratic,0.5,0.1,0.9944574704629983,0.9028220469845847,0.5670632610970061,0.7047339856618006,"15.9**2 * RationalQuadratic(alpha=1e+05, length_scale=4.88)"
RBF,1.0,0.1,0.9944576067435651,0.902821889262729,0.5670612729974286,0.7047345575605877,15.9**2 * RBF(length_scale=4.88)
RBF,0.1,0.1,0.9944576067435651,0.902821889262729,0.5670612729974286,0.7047345575605877,15.9**2 * RBF(length_scale=4.88)
RBF,10.0,0.1,0.9944576067435651,0.902821889262729,0.5670612729974286,0.7047345575605877,15.9**2 * RBF(length_scale=4.88)
RBF,20.0,0.1,0.9944576067435651,0.902821889262729,0.5670612729974286,0.7047345575605877,15.9**2 * RBF(length_scale=4.88)
RBF,0.5,0.1,0.9944576067435651,0.902821889262729,0.5670612729974286,0.7047345575605877,15.9**2 * RBF(length_scale=4.88)
RBF,5.0,0.1,0.9944576067435651,0.902821889262729,0.5670612729974286,0.7047345575605877,15.9**2 * RBF(length_scale=4.88)
RBF,2.0,0.1,0.9944576067435651,0.9028218888383284,0.567061276716961,0.7047345590994618,15.9**2 * RBF(length_scale=4.88)
RationalQuadratic,10.0,0.1,0.9944574704629983,0.9028218529290639,0.5670647209951104,0.7047346893062391,"15.9**2 * RationalQuadratic(alpha=1e+05, length_scale=4.88)"
